fight_id,event_id,date,weight_class,winner,loser,win_by,method,round,time,time_format,title_fight,fight_of_night,performance_bonus,fight_name,referee,attendance,location,event_name,url
5568,514,2020-05-09,Women's Strawweight,Carla Esparza,Michelle Waterson,S-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Women's Strawweight Bout,Dan Miragliotta,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/f2520dd5457ab293
5567,514,2020-05-09,Welterweight,Vicente Luque,Niko Price,KO/TKO,Punches,3,3:37,3 Rnd (5-5-5),False,False,False,Welterweight Bout,Jason Herzog,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/3f810c3433dddb80
5566,514,2020-05-09,Featherweight,Bryce Mitchell,Charles Rosa,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Featherweight Bout,Keith Peterson,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/08244974cf39ae38
5565,514,2020-05-09,Light Heavyweight,Ryan Spann,Sam Alvey,S-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Light Heavyweight Bout,Dan Miragliotta,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/b70dfff154b135bf
5564,513,2020-03-14,Lightweight,Charles Oliveira,Kevin Lee,SUB,Guillotine Choke,3,0:28,5 Rnd (5-5-5-5-5),False,False,True,Lightweight Bout,Mike Beltran,0,"Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/e0b323dae5bf4c90
5563,513,2020-03-14,Welterweight,Gilbert Burns,Demian Maia,KO/TKO,Punch,1,2:34,3 Rnd (5-5-5),False,False,True,Welterweight Bout,Osiris Maia,0,"Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/5cee1d8f1e43d6f5
5562,513,2020-03-14,Lightweight,Renato Moicano,Damir Hadzovic,SUB,Rear Naked Choke,1,0:44,3 Rnd (5-5-5),False,False,False,Lightweight Bout,Eduardo Herdy,0,"Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/c26a3f4c08333886
5561,513,2020-03-14,Light Heavyweight,Nikita Krylov,Johnny Walker,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Light Heavyweight Bout,Mike Beltran,0,"Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/5bba49d88db7430f
5560,513,2020-03-14,Lightweight,Francisco Trinaldo,John Makdessi,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Lightweight Bout,Osiris Maia,0,"Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/dc45c8d70e256749
5559,513,2020-03-14,Flyweight,Brandon Moreno,Jussier Formiga,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Flyweight Bout,Eduardo Herdy,0,"Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/b3c74554c871fbf8
5558,513,2020-03-14,Women's Strawweight,Amanda Ribas,Randa Markos,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Women's Strawweight Bout,Camila Albuquerque,0,"Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/ea303a8e6e31f264
5557,513,2020-03-14,Welterweight,Elizeu Zaleski dos Santos,Aleksei Kunchenko,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Welterweight Bout,Osiris Maia,0,"Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/9fc6aba53508dc48
5556,513,2020-03-14,Bantamweight,Rani Yahya,Enrique Barzola,M-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Bantamweight Bout,Julio Catarino,0,"Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/e2503ed6a1f9257d
5555,513,2020-03-14,Women's Flyweight,Maryna Moroz,Mayra Bueno Silva,U-DEC,,3,5:00,3 Rnd (5-5-5),False,True,False,Women's Flyweight Bout,Camila Albuquerque,0,"Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/2a1826612a7d739c
5554,513,2020-03-14,Flyweight,David Dvorak,Bruno Silva,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Flyweight Bout,Julio Catarino,0,"Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/1a2d13834696c4ab
5553,513,2020-03-14,Women's Bantamweight,Bea Malecki,Veronica Macedo,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Women's Bantamweight Bout,Mike Beltran,0,"Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/ef526567c4dcf371
5552,512,2020-03-07,Middleweight,Israel Adesanya,Yoel Romero,U-DEC,,5,5:00,5 Rnd (5-5-5-5-5),True,False,False,UFC Middleweight Title Bout,Dan Miragliotta,"15,077","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/b46f2f007b622bce
5551,512,2020-03-07,Women's Strawweight,Weili Zhang,Joanna Jedrzejczyk,S-DEC,,5,5:00,5 Rnd (5-5-5-5-5),True,True,False,UFC Women's Strawweight Title Bout,Keith Peterson,"15,077","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/cf0a6466b762c668
5550,512,2020-03-07,Lightweight,Beneil Dariush,Drakkar Klose,KO/TKO,Punch,2,1:00,3 Rnd (5-5-5),False,False,True,Lightweight Bout,Jason Herzog,"15,077","Las Vegas, Nevada, USA",UFC 248: Adesanya vs. Romero,http://www.ufcstats.com/fight-details/891470d896b1de5a
