fight_id,fighter,w,kd,sig_str_landed,sig_str_attempted,signif_str_rate,total_strikes_landed,total_strikes_attempted,sub_att,pass,rev,takedown_landed,takedown_attempted,td_rate,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
5562,Renato Moicano,W,0,1,2,0.5,4,5,1,1,0,1,1,1.0,1,2,0,0,0,0,1,2,0,0,0,0
5562,Damir Hadzovic,L,0,1,5,0.2,1,5,0,0,0,0,0,0.0,0,4,0,0,1,1,1,5,0,0,0,0
5561,Nikita Krylov,W,0,45,58,0.77,128,148,0,4,1,3,8,0.37,38,49,6,7,1,2,10,18,2,3,33,37
5561,Johnny Walker,L,0,37,50,0.74,91,112,0,2,1,0,0,0.0,33,45,2,3,2,2,10,14,8,9,19,27
5560,Francisco Trinaldo,W,0,55,126,0.43,55,126,0,0,0,0,1,0.0,34,100,17,22,4,4,53,124,2,2,0,0
5560,John Makdessi,L,0,67,123,0.54,68,124,0,0,0,0,0,0.0,15,54,16,26,36,43,65,121,2,2,0,0
5559,Brandon Moreno,W,0,33,82,0.4,94,147,0,1,1,0,2,0.0,29,76,4,6,0,0,20,61,4,9,9,12
5559,Jussier Formiga,L,0,15,32,0.46,61,81,1,3,1,1,9,0.11,9,24,4,5,2,3,12,28,0,1,3,3
5558,Amanda Ribas,W,0,85,159,0.53,173,254,2,4,1,1,3,0.33,57,125,18,24,10,10,45,111,8,9,32,39
5558,Randa Markos,L,0,36,77,0.46,56,99,0,0,0,1,1,1.0,22,58,3,7,11,12,33,74,3,3,0,0
5557,Elizeu Zaleski dos Santos,W,0,62,156,0.39,74,169,0,0,0,2,4,0.5,25,95,16,32,21,29,56,149,4,5,2,2
5557,Aleksei Kunchenko,L,0,57,112,0.5,97,156,0,0,0,0,0,0.0,29,72,11,18,17,22,48,101,8,10,1,1
5556,Rani Yahya,W,0,24,45,0.53,58,83,0,3,1,2,5,0.4,12,30,5,7,7,8,19,38,1,2,4,5
5556,Enrique Barzola,L,0,57,86,0.66,148,187,1,5,1,1,2,0.5,39,65,18,20,0,1,10,36,1,1,46,49
5555,Maryna Moroz,W,0,139,247,0.56,176,298,0,1,0,2,8,0.25,75,160,49,71,15,16,111,203,10,18,18,26
5555,Mayra Bueno Silva,L,0,88,146,0.6,92,150,0,0,0,0,0,0.0,45,92,20,22,23,32,73,130,15,16,0,0
5554,David Dvorak,W,0,67,133,0.5,92,161,0,1,2,0,1,0.0,35,86,24,37,8,10,51,107,14,24,2,2
5554,Bruno Silva,L,0,45,97,0.46,60,112,0,2,0,3,11,0.27,25,69,12,17,8,11,35,82,8,10,2,5
5553,Bea Malecki,W,0,130,247,0.52,190,326,0,2,0,0,0,0.0,92,191,34,50,4,6,107,214,11,13,12,20
5553,Veronica Macedo,L,0,93,258,0.36,106,271,0,0,0,0,9,0.0,67,213,14,30,12,15,90,246,3,12,0,0
5552,Israel Adesanya,W,0,48,132,0.36,48,132,0,0,0,0,0,0.0,14,81,9,22,25,29,48,132,0,0,0,0
5552,Yoel Romero,L,0,40,89,0.44,40,89,0,0,0,0,3,0.0,20,58,7,13,13,18,35,82,5,7,0,0
5551,Weili Zhang,W,0,165,408,0.4,170,413,0,0,0,1,8,0.12,96,305,11,22,58,81,158,393,7,15,0,0
5551,Joanna Jedrzejczyk,L,0,186,360,0.51,196,370,0,0,0,0,0,0.0,96,230,32,47,58,83,171,342,15,18,0,0
5550,Beneil Dariush,W,1,12,20,0.6,17,28,2,1,0,1,3,0.33,8,16,3,3,1,1,12,20,0,0,0,0
5550,Drakkar Klose,L,0,15,25,0.6,27,37,0,0,0,0,0,0.0,12,22,0,0,3,3,13,22,2,3,0,0
5549,Neil Magny,W,0,74,139,0.53,123,188,0,2,0,4,7,0.57,56,118,12,15,6,6,34,96,18,20,22,23
5549,Jingliang Li,L,0,16,62,0.25,16,65,0,0,0,2,3,0.66,11,50,1,3,4,9,13,53,3,9,0,0
5548,Alex Oliveira,W,0,40,77,0.51,61,98,0,2,0,1,5,0.2,21,56,11,13,8,8,35,67,3,8,2,2
5548,Max Griffin,L,0,23,50,0.46,62,96,0,2,1,2,3,0.66,17,40,4,8,2,2,20,47,3,3,0,0
5547,Sean O'Malley,W,0,18,22,0.81,18,22,0,0,0,0,0,0.0,9,11,6,7,3,4,13,17,0,0,5,5
5547,Jose Quinonez,L,0,0,11,0.0,0,11,0,0,0,0,0,0.0,0,7,0,1,0,3,0,11,0,0,0,0
5546,Mark Madsen,W,0,15,58,0.25,20,65,0,3,0,8,12,0.66,14,57,0,0,1,1,5,42,3,5,7,11
5546,Austin Hubbard,L,0,41,75,0.54,45,79,0,0,0,0,0,0.0,25,48,8,14,8,13,37,67,4,8,0,0
5545,Rodolfo Vieira,W,0,5,10,0.5,10,15,1,2,0,2,2,1.0,5,10,0,0,0,0,0,3,0,0,5,7
5545,Saparbeg Safarov,L,0,5,10,0.5,7,12,0,0,0,0,0,0.0,2,7,1,1,2,2,5,10,0,0,0,0
5544,Gerald Meerschaert,W,1,86,187,0.45,86,188,1,1,0,1,1,1.0,66,166,20,21,0,0,81,177,5,10,0,0
5544,Deron Winn,L,0,53,111,0.47,53,111,0,0,0,1,2,0.5,37,93,11,13,5,5,47,103,6,8,0,0
