fight_id,fighter,round,kd,sig_str_landed,sig_str_attempted,signif_str_rate,total_strikes_landed,total_strikes_attempted,sub_att,pass,rev,takedown_landed,takedown_attempted,td_rate,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
2240,Dan Miller,1,0,11,37,0.29,11,37,1,0,0,1,1,1.0,4,26,4,8,3,3,11,37,0,0,0,0
2240,Jordan Mein,1,1,29,53,0.54,29,53,0,0,0,0,0,0.0,25,49,4,4,0,0,16,35,13,18,0,0
2239,John Makdessi,1,0,11,41,0.26,11,41,0,0,0,0,0,0.0,4,24,3,12,4,5,11,41,0,0,0,0
2239,Daron Cruickshank,1,0,12,54,0.22,12,54,0,0,0,0,1,0.0,5,44,2,5,5,5,12,54,0,0,0,0
2239,John Makdessi,2,0,28,62,0.45,28,62,0,0,0,0,0,0.0,19,51,6,8,3,3,28,59,0,3,0,0
2239,Daron Cruickshank,2,0,23,70,0.32,23,70,0,0,0,0,1,0.0,15,60,4,6,4,4,23,70,0,0,0,0
2239,John Makdessi,3,0,47,92,0.51,49,94,0,0,0,0,0,0.0,35,78,8,10,4,4,46,89,1,2,0,1
2239,Daron Cruickshank,3,0,16,74,0.21,16,74,0,0,0,0,2,0.0,12,62,1,8,3,4,15,73,0,0,1,1
2238,Rick Story,1,1,20,49,0.4,26,55,0,0,0,1,1,1.0,10,35,7,9,3,5,15,41,1,2,4,6
2238,Quinn Mulhern,1,0,9,50,0.18,9,51,0,0,0,0,1,0.0,8,42,1,8,0,0,9,50,0,0,0,0
2237,TJ Dillashaw,1,0,22,48,0.45,31,57,0,0,0,2,3,0.66,5,23,3,6,14,19,7,29,14,18,1,1
2237,Issei Tamura,1,0,11,19,0.57,17,27,0,0,0,0,1,0.0,4,10,4,6,3,3,4,11,7,8,0,0
2237,TJ Dillashaw,2,1,8,9,0.88,8,9,0,0,0,0,0,0.0,8,9,0,0,0,0,1,2,0,0,7,7
2237,Issei Tamura,2,0,0,1,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0
2236,George Roop,1,0,16,42,0.38,41,69,0,0,0,0,0,0.0,8,28,5,8,3,6,7,32,0,0,9,10
2236,Reuben Duran,1,0,14,33,0.42,28,47,0,1,0,1,1,1.0,12,31,0,0,2,2,8,20,0,0,6,13
2236,George Roop,2,0,5,14,0.35,33,42,1,0,0,1,1,1.0,4,11,1,3,0,0,1,9,2,3,2,2
2236,Reuben Duran,2,0,6,12,0.5,15,21,0,0,0,0,2,0.0,2,8,2,2,2,2,2,4,3,6,1,2
2236,George Roop,3,0,12,19,0.63,51,63,0,0,0,1,2,0.5,3,8,8,10,1,1,0,3,12,16,0,0
2236,Reuben Duran,3,0,10,11,0.9,13,14,0,0,0,0,3,0.0,1,1,9,10,0,0,2,2,8,9,0,0
2235,Wanderlei Silva,1,1,24,46,0.52,30,60,0,0,0,0,2,0.0,20,41,4,5,0,0,15,32,8,13,1,1
2235,Brian Stann,1,1,31,52,0.59,53,79,0,0,0,0,0,0.0,18,36,9,11,4,5,19,32,12,20,0,0
2235,Wanderlei Silva,2,1,19,37,0.51,19,37,0,0,0,0,0,0.0,17,35,1,1,1,1,15,33,0,0,4,4
2235,Brian Stann,2,0,12,24,0.5,12,24,0,0,0,0,0,0.0,5,15,0,1,7,8,12,24,0,0,0,0
2234,Stefan Struve,1,0,4,17,0.23,12,29,0,2,1,0,0,0.0,3,15,1,1,0,1,1,8,0,0,3,9
2234,Mark Hunt,1,0,7,17,0.41,16,29,0,1,0,0,0,0.0,3,11,2,4,2,2,6,14,0,0,1,3
2234,Stefan Struve,2,0,9,21,0.42,33,58,1,1,0,0,0,0.0,7,19,2,2,0,0,9,21,0,0,0,0
2234,Mark Hunt,2,0,20,35,0.57,25,41,0,1,1,1,2,0.5,16,31,4,4,0,0,19,33,0,0,1,2
2234,Stefan Struve,3,0,11,29,0.37,11,29,0,0,0,0,0,0.0,9,26,1,1,1,2,11,29,0,0,0,0
2234,Mark Hunt,3,1,20,30,0.66,20,30,0,0,0,0,0,0.0,18,28,2,2,0,0,20,30,0,0,0,0
2233,Takanori Gomi,1,0,28,50,0.56,28,50,0,0,0,0,0,0.0,15,37,11,11,2,2,28,50,0,0,0,0
2233,Diego Sanchez,1,0,22,41,0.53,25,45,1,0,0,2,2,1.0,8,27,10,10,4,4,22,41,0,0,0,0
2233,Takanori Gomi,2,0,31,65,0.47,31,65,0,0,0,0,0,0.0,18,45,11,16,2,4,31,65,0,0,0,0
2233,Diego Sanchez,2,0,27,49,0.55,27,49,0,0,0,0,2,0.0,13,32,10,12,4,5,27,49,0,0,0,0
2233,Takanori Gomi,3,0,22,65,0.33,22,65,0,0,0,0,0,0.0,15,53,7,9,0,3,22,65,0,0,0,0
2233,Diego Sanchez,3,0,16,55,0.29,16,55,0,0,0,0,1,0.0,8,41,4,9,4,5,16,55,0,0,0,0
2232,Yushin Okami,1,0,14,33,0.42,29,49,0,3,0,2,2,1.0,3,21,8,8,3,4,6,25,7,7,1,1
2232,Hector Lombard,1,0,13,26,0.5,31,46,0,0,0,0,2,0.0,8,21,4,4,1,1,11,23,2,3,0,0
2232,Yushin Okami,2,0,19,36,0.52,29,48,0,2,0,1,1,1.0,18,34,0,0,1,2,16,31,0,0,3,5
2232,Hector Lombard,2,0,10,22,0.45,29,41,0,0,0,0,0,0.0,4,13,4,6,2,3,10,22,0,0,0,0
2232,Yushin Okami,3,0,4,20,0.2,7,23,0,0,0,0,2,0.0,3,19,1,1,0,0,3,19,1,1,0,0
2232,Hector Lombard,3,0,22,41,0.53,49,71,0,2,0,0,1,0.0,18,37,4,4,0,0,19,36,2,3,1,2
