first,last,full_name,nickname,height,weight,reach,stance,w,l,d,url
Israel,Albuquerque,Israel Albuquerque,,--,185 lbs.,--,Orthodox,0.0,3.0,0.0,http://www.ufcstats.com/fighter-details/dd1b90eea08887f6
Juan,Alcain,Juan Alcain,,--,--,--,,1.0,2.0,0.0,http://www.ufcstats.com/fighter-details/39f62b833e4cf126
Iuri,Alcantara,Iuri Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35.0,10.0,0.0,http://www.ufcstats.com/fighter-details/2f95a3c6d58b2aad
Ildemar,Alcantara,Ildemar Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21.0,8.0,0.0,http://www.ufcstats.com/fighter-details/7c6e87729e824ef4
Alfonso,Alcarez,Alfonso Alcarez,,"5' 3""",145 lbs.,--,,1.0,3.0,1.0,http://www.ufcstats.com/fighter-details/1e38bba6738b7b10
Gilbert,Aldana,Gilbert Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6.0,2.0,0.0,http://www.ufcstats.com/fighter-details/d26934530dc5b248
Irene,Aldana,Irene Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,12.0,5.0,0.0,http://www.ufcstats.com/fighter-details/578ef12674df1e6a
Hector,Aldana,Hector Aldana,El Charro,"5' 11""",170 lbs.,"72.0""",Orthodox,4.0,4.0,0.0,http://www.ufcstats.com/fighter-details/c487223b0289bda9
Jose,Aldo,Jose Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,28.0,6.0,0.0,http://www.ufcstats.com/fighter-details/d0f3959b4a9747e6
JJ,Aldrich,JJ Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,8.0,4.0,0.0,http://www.ufcstats.com/fighter-details/6fd953151d981979
Jim,Alers,Jim Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13.0,3.0,0.0,http://www.ufcstats.com/fighter-details/fe5a9547479396ab
John,Alessio,John Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,34.0,16.0,0.0,http://www.ufcstats.com/fighter-details/7a15f3694c5cbc02
Houston,Alexander,Houston Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,13.0,8.0,1.0,http://www.ufcstats.com/fighter-details/0541480fbf719d86
Kenneth,Alexander,Kenneth Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,5.0,5.0,0.0,http://www.ufcstats.com/fighter-details/8fd76e1b49c00ae2
Marcio,Alexandre Junior,Marcio Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17.0,4.0,0.0,http://www.ufcstats.com/fighter-details/d53482bef23235ba
Olaf,Alfonso,Olaf Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8.0,11.0,0.0,http://www.ufcstats.com/fighter-details/b757c73f443d4fca
Pablo,Alfonso,Pablo Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,6.0,5.0,0.0,http://www.ufcstats.com/fighter-details/4b37a0bc2ab4cae1
Levi,Alford,Levi Alford,,--,--,--,,1.0,4.0,0.0,http://www.ufcstats.com/fighter-details/41b34b7f11f6d085
Bill,Algeo,Bill Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,12.0,3.0,0.0,http://www.ufcstats.com/fighter-details/9abc648e76c4493a
Royce,Alger,Royce Alger,,"5' 10""",199 lbs.,--,Orthodox,3.0,2.0,0.0,http://www.ufcstats.com/fighter-details/669a3cb6e394f515
Amir,Aliakbari,Amir Aliakbari,,"6' 3""",250 lbs.,--,,10.0,1.0,0.0,http://www.ufcstats.com/fighter-details/e17770faae3ca54c
Sultan,Aliev,Sultan Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15.0,3.0,0.0,http://www.ufcstats.com/fighter-details/e70de1859b7ee78e
John,Allan,John Allan,,"6' 3""",205 lbs.,"75.0""",Orthodox,13.0,5.0,0.0,http://www.ufcstats.com/fighter-details/6ebe96a116e79e52
George,Allen,George Allen,,"6' 2""",205 lbs.,--,Open Stance,13.0,19.0,2.0,http://www.ufcstats.com/fighter-details/1e13936d708bcff7
Arnold,Allen,Arnold Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,16.0,1.0,0.0,http://www.ufcstats.com/fighter-details/040a74bb0a465c54
Brendan,Allen,Brendan Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,14.0,3.0,0.0,http://www.ufcstats.com/fighter-details/2f181c0467965b98
Benny,Alloway,Benny Alloway,Blanco,"5' 11""",170 lbs.,"75.0""",Orthodox,13.0,6.0,0.0,http://www.ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
Ricardo,Almeida,Ricardo Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13.0,5.0,0.0,http://www.ufcstats.com/fighter-details/91186547a7f3f758
Magno,Almeida,Magno Almeida,,"6' 0""",155 lbs.,--,,9.0,3.0,0.0,http://www.ufcstats.com/fighter-details/d615d6a10a4704cd
